1494938121.298;289502.278;1494938121.286;F;..PEG;534;459;528;438;542;439;532;424;28.5;0.217;0.526;527;479;531;455;29.1;0.422;0.541
1494938121.331;289502.311;1494938121.319;F;..PEG;595;438;527;436;588;421;536;424;28.3;0.218;0.525;602;455;535;456;29.0;0.423;0.540
1494938121.361;289502.345;1494938121.353;F;..PEG;586;366;527;435;587;346;540;419;27.9;0.218;0.523;586;386;538;452;28.7;0.423;0.538
1494938121.392;289502.378;1494938121.386;F;..PEG;592;367;528;434;588;362;544;415;28.2;0.218;0.522;596;373;542;447;28.6;0.423;0.538
1494938121.439;289502.412;1494938121.420;F;..PEG;592;377;530;434;591;333;547;409;28.2;0.217;0.522;594;421;546;445;29.1;0.422;0.538
1494938121.471;289502.445;1494938121.453;F;..PEG;578;373;531;433;571;350;550;405;28.2;0.217;0.522;584;396;549;442;29.3;0.421;0.538
1494938121.503;289502.478;1494938121.486;F;..PEG;575;384;532;431;571;358;552;401;28.6;0.216;0.522;579;411;552;440;29.1;0.420;0.538
1494938121.532;289502.511;1494938121.519;F;..PEG;579;385;533;429;576;368;554;399;28.8;0.215;0.523;581;403;555;437;29.2;0.419;0.538
1494938121.565;289502.545;1494938121.553;F;..PEG;598;380;535;428;602;360;557;395;27.9;0.214;0.523;595;400;558;435;29.2;0.418;0.538
1494938121.595;289502.578;1494938121.586;F;..PEG;582;383;537;427;583;347;560;392;28.7;0.212;0.523;582;420;560;433;29.1;0.417;0.538
1494938121.627;289502.611;1494938121.619;F;..PEG;587;386;540;425;585;363;563;389;29.6;0.211;0.523;590;410;563;431;29.9;0.416;0.537
1494938121.674;289502.645;1494938121.653;F;..PEG;581;402;542;424;583;399;566;388;29.4;0.210;0.523;579;405;565;429;29.7;0.415;0.537
1494938121.706;289502.678;1494938121.686;F;..PEG;304;473;545;424;1;491;1;491;50.2;0.204;0.524;608;454;569;429;35.3;0.414;0.537
1494938121.736;289502.712;1494938121.720;N;..PEG;208;541;-103;518;-103;518;-103;518;50.4;0.202;0.526;520;565;567;437;34.3;0.412;0.538
1494938121.767;289502.745;1494938121.753;N;..PEG;374;549;-109;547;-115;576;-109;547;49.3;0.201;0.526;865;522;865;522;45.3;0.415;0.537
1494938121.799;289502.778;1494938121.786;N;..PEG;214;590;93;594;-95;471;-105;522;50.0;0.200;0.525;524;709;524;709;38.6;0.411;0.539
1494938121.830;289502.811;1494938121.819;N;..PEG;221;749;157;628;-78;637;-98;550;53.8;0.200;0.527;520;862;522;786;41.7;0.410;0.541
1494938121.861;289502.844;1494938121.852;N;..PEG;376;563;184;628;8;649;-76;571;53.2;0.200;0.527;744;477;596;682;45.9;0.412;0.536
