1498650285726;821;918
1498650285746;821;908
1498650285774;822;898
1498650285789;822;888
1498650285809;823;878
1498650285830;824;868
1498650285850;824;858
1498650285870;825;848
1498650285892;825;838
1498650285911;826;828
1498650285932;827;818
1498650285952;827;808
1498650285975;828;798
1498650285995;829;788
1498650286029;829;778
1498650286044;830;768
1498650286066;830;758
1498650286100;831;748
1498650286115;832;738
1498650286135;832;728
1498650286160;833;718
1498650286198;833;708
1498650286219;834;698
1498650286241;835;688
1498650286262;835;678
1498650286281;836;668
1498650286312;837;658
1498650286328;837;648
1498650286348;838;638
1498650286370;838;628
1498650286391;839;618
1498650286427;840;608
1498650286456;840;598
1498650286476;841;588
1498650286496;842;578
1498650286516;842;568
1498650286538;843;558
1498650286559;843;548
1498650286579;844;538
1498650286600;845;528
1498650286621;845;518
1498650286641;846;508
1498650286661;846;498
1498650286681;847;488
1498650286703;848;478
1498650286724;848;468
1498650286744;849;458
1498650286764;850;448
1498650286785;850;438
1498650286807;851;428
1498650286828;851;418
1498650286849;852;408
1498650286871;853;398
1498650286891;853;389
1498650286911;854;379
1498650286933;854;369
1498650286954;855;359
1498650286975;856;349
1498650286996;856;339
1498650287088;857;329
1498650287115;858;319
1498650287133;858;309
1498650287154;859;299
1498650287175;859;289
1498650287196;860;279
1498650287215;861;269
1498650287237;861;259
1498650287276;862;249
1498650287295;863;239
1498650287315;863;229
1498650287337;864;219
1498650287358;864;209
1498650287377;865;199
1498650287399;866;189
1498650287420;866;179
1498650287440;867;169
1498650287460;866;179
1498650287481;866;189
1498650287501;865;199
1498650287521;864;209
1498650287542;864;219
1498650287568;863;229
1498650287589;863;239
1498650287610;862;249
1498650287631;861;259
1498650287651;861;269
1498650287672;860;279
1498650287693;859;289
1498650287712;859;299
1498650287733;858;309
1498650287754;858;319
1498650287778;857;329
1498650287799;856;339
1498650287819;856;349
1498650287840;855;359
1498650287860;854;369
1498650287880;854;379
1498650287899;853;389
1498650287922;853;398
1498650287943;852;408
1498650287962;851;418
1498650287982;851;428
1498650288003;850;438
1498650288030;850;448
1498650288049;849;458
1498650288069;848;468
1498650288089;848;478
1498650288110;847;488
1498650288132;846;498
1498650288152;846;508
1498650288172;845;518
1498650288193;845;528
1498650288233;844;538
1498650288255;843;548
1498650288276;843;558
1498650288298;842;568
1498650288320;842;578
1498650288360;841;588
1498650288381;840;598
1498650288401;840;608
1498650288424;839;618
1498650288444;838;628
1498650288466;838;638
1498650288499;837;648
1498650288622;837;658
1498650288645;836;668
1498650288663;835;678
1498650288683;835;688
1498650288705;834;698
1498650288726;833;708
1498650288746;833;718
1498650288766;832;728
1498650288788;832;738
1498650288809;831;748
1498650288829;830;758
1498650288850;830;768
1498650288871;829;778
1498650288893;829;788
1498650288913;828;798
1498650288933;827;808
1498650288959;827;818
1498650288979;826;828
1498650289015;825;838
1498650289036;825;848
1498650289057;824;858
1498650289077;824;868
1498650289098;823;878
1498650289117;822;888
1498650289138;822;898
1498650289158;821;908
1498650289180;821;918
1498650289224;826;909
1498650289268;832;901
1498650289313;838;893
1498650289365;843;885
1498650289386;849;877
1498650289407;855;868
1498650289427;861;860
1498650289447;866;852
1498650289467;872;844
1498650289490;878;836
1498650289510;884;827
1498650289531;889;819
1498650289550;895;811
1498650289572;901;803
1498650289596;907;795
1498650289615;912;786
1498650289634;918;778
1498650289656;924;770
1498650289675;930;762
1498650289697;935;754
1498650289720;941;746
1498650289744;947;737
1498650289765;953;729
1498650289787;958;721
1498650289808;964;713
1498650289828;970;705
1498650289849;976;696
1498650289871;981;688
1498650289891;987;680
1498650289916;993;672
1498650289937;998;664
1498650289958;1004;655
1498650289979;1010;647
1498650289997;1016;639
1498650290021;1021;631
1498650290041;1027;623
1498650290061;1033;615
1498650290080;1039;606
1498650290103;1044;598
1498650290123;1050;590
1498650290160;1056;582
1498650290182;1062;574
1498650290203;1067;565
1498650290248;1073;557
1498650290270;1079;549
1498650290291;1085;541
1498650290312;1090;533
1498650290333;1096;524
1498650290354;1102;516
1498650290375;1108;508
1498650290399;1113;500
1498650290421;1119;492
1498650290442;1125;484
1498650290463;1131;475
1498650290483;1136;467
1498650290505;1142;459
1498650290527;1148;451
1498650290547;1154;443
1498650290570;1159;434
1498650290592;1165;426
1498650290616;1159;434
1498650290638;1154;443
1498650290660;1148;451
1498650290680;1142;459
1498650290703;1136;467
1498650290724;1131;475
1498650290744;1125;484
1498650290766;1119;492
1498650290787;1113;500
1498650290808;1108;508
1498650290829;1102;516
1498650290850;1096;524
1498650290871;1090;533
1498650290893;1085;541
1498650290913;1079;549
1498650290934;1073;557
1498650290955;1067;565
1498650290975;1062;574
1498650290996;1056;582
1498650291016;1050;590
1498650291037;1044;598
1498650291058;1039;606
1498650291080;1033;615
1498650291105;1027;623
1498650291126;1021;631
1498650291146;1016;639
1498650291168;1010;647
1498650291189;1004;655
1498650291210;998;664
1498650291231;993;672
1498650291252;987;680
1498650291274;981;688
1498650291295;976;696
1498650291316;970;705
1498650291337;964;713
1498650291358;958;721
1498650291379;953;729
1498650291400;947;737
1498650291422;941;746
1498650291443;935;754
1498650291463;930;762
1498650291484;924;770
1498650291506;918;778
1498650291527;912;786
1498650291547;907;795
1498650291569;901;803
1498650291590;895;811
1498650291611;889;819
1498650291632;884;827
1498650291653;878;836
1498650291674;872;844
1498650291695;866;852
1498650291716;861;860
1498650291738;855;868
1498650291759;849;877
1498650291779;843;885
1498650291800;838;893
1498650291823;832;901
1498650291843;826;909
1498650291865;821;918
1498650291887;819;908
1498650291908;818;898
1498650291929;817;888
