	GazeState	Tgaze	Xgaze	Ygaze	Tball	Xball	Yball	Tpaddle	Xpaddle	Ypaddle
0	..P..	1503937722.573			nan	nan	nan	1503937732.787	55	931
1	.F...	1503937733.398			nan	nan	nan	1503937733.455	760	931
2	..PEG	1503937733.431	260	655	nan	nan	nan	1503937733.464	758	931
3	.F...	1503937733.464			nan	nan	nan	1503937733.499	747	931
4	..PEG	1503937733.498	1296	567	nan	nan	nan	1503937733.532	728	931
5	..PEG	1503937733.531	1187	564	nan	nan	nan	1503937733.564	710	931
6	..PEG	1503937733.564	591	732	nan	nan	nan	1503937733.597	689	931
7	..PEG	1503937733.598	416	810	nan	nan	nan	1503937733.632	672	931
8	..PEG	1503937733.631	418	875	nan	nan	nan	1503937733.664	661	931
9	..PEG	1503937733.664	418	853	nan	nan	nan	1503937733.697	656	931
10	..PEG	1503937733.697	405	847	nan	nan	nan	1503937733.73	644	931
11	..PEG	1503937733.731	384	846	nan	nan	nan	1503937733.764	608	931
12	..PEG	1503937733.764	475	833	nan	nan	nan	1503937733.797	572	931
13	..PEG	1503937733.797	465	805	nan	nan	nan	1503937733.83	531	931
14	..PEG	1503937733.830	435	635	nan	nan	nan	1503937733.866	498	931
15	..PEG	1503937733.864	399	420	nan	nan	nan	1503937733.899	472	931
16	..PEG	1503937733.897	424	403	nan	nan	nan	1503937733.933	447	931
17	..PEG	1503937733.930	432	417	nan	nan	nan	1503937733.967	422	931
18	..PEG	1503937733.964	443	412	nan	nan	nan	1503937734.002	397	931
19	..PEG	1503937733.997	437	394	nan	nan	nan	1503937734.035	368	931
20	..PEG	1503937734.030	332	461	nan	nan	nan	1503937734.069	293	931
21	..PEG	1503937734.064	350	493	nan	nan	nan	1503937734.104	273	931
22	..PEG	1503937734.097	328	523	nan	nan	nan	1503937734.138	273	931
23	..PEG	1503937734.131	327	479	nan	nan	nan	1503937734.17	273	931
24	..PEG	1503937734.164	331	504	nan	nan	nan	1503937734.204	272	931
25	..PEG	1503937734.197	359	495	nan	nan	nan	1503937734.239	272	931
26	..PEG	1503937734.230	371	499	nan	nan	nan	1503937734.272	277	931
27	..PEG	1503937734.264	357	494	nan	nan	nan	1503937734.307	290	931
28	..PEG	1503937734.297	341	604	nan	nan	nan	1503937734.34	294	931
29	..PEG	1503937734.331	323	588	nan	nan	nan	1503937734.374	296	931
30	..PEG	1503937734.364	337	588	nan	nan	nan	1503937734.408	305	931
31	..PEG	1503937734.397	316	589	nan	nan	nan	1503937734.443	315	931
32	..PEG	1503937734.430	303	582	nan	nan	nan	1503937734.475	321	931
33	..PEG	1503937734.464	327	595	nan	nan	nan	1503937734.509	322	931
34	..PEG	1503937734.497	334	590	nan	nan	nan	1503937734.542	322	931
35	..PEG	1503937734.530	317	601	nan	nan	nan	1503937734.576	322	931
36	..PEG	1503937734.563	307	613	nan	nan	nan	1503937734.609	322	931
37	..PEG	1503937734.597	311	547	nan	nan	nan	1503937734.643	322	931
38	..PEG	1503937734.630	313	604	nan	nan	nan	1503937734.678	322	931
39	..PEG	1503937734.663	327	585	nan	nan	nan	1503937734.712	315	931
40	..PEG	1503937734.697	310	616	nan	nan	nan	1503937734.746	311	931
41	..PEG	1503937734.730	78	533	nan	nan	nan	1503937734.78	303	931
42	..PEG	1503937734.763	301	590	nan	nan	nan	1503937734.813	295	931
43	..PEG	1503937734.797	285	615	nan	nan	nan	1503937734.847	293	931
44	..PEG	1503937734.830	262	720	nan	nan	nan	1503937734.88	293	931
45	..PEG	1503937734.864	248	800	nan	nan	nan	1503937734.913	293	931
46	..PEG	1503937734.897	273	799	nan	nan	nan	1503937734.947	289	931
47	..PEG	1503937734.930	277	761	nan	nan	nan	1503937734.98	289	931
48	..PEG	1503937734.963	-25	701	nan	nan	nan	1503937735.014	289	931
49	..PEG	1503937734.996	251	772	nan	nan	nan	1503937735.048	289	931
50	..PEG	1503937735.030	276	791	nan	nan	nan	1503937735.082	289	931
51	..PEG	1503937735.063	294	766	nan	nan	nan	1503937735.115	286	931
52	..PEG	1503937735.096	277	790	nan	nan	nan	1503937735.149	278	931
53	..PEG	1503937735.130	278	772	nan	nan	nan	1503937735.183	275	931
54	..PEG	1503937735.163	272	771	nan	nan	nan	1503937735.216	273	931
55	..PEG	1503937735.196	279	805	nan	nan	nan	1503937735.25	268	931
56	..PEG	1503937735.230	283	793	nan	nan	nan	1503937735.284	263	931
57	..PEG	1503937735.263	316	787	nan	nan	nan	1503937735.318	260	931
58	..PEG	1503937735.296	297	808	nan	nan	nan	1503937735.353	260	931
59	..PEG	1503937735.330	289	797	nan	nan	nan	1503937735.385	260	931
